Year;type;value
2010;M & HCV;352060.0
2016;M & HCV;346286.0
2016;LCVs;476067.0
2008;Total commercial Vehicles;426819.0
2010;Total commercial Vehicles;752705.0
2019;Total commercial Vehicles;717688.0
2007;Passenger Cars;1414845.0
2013;Multi-Utility Vehivles;569272.0
2018;Multi-Utility Vehivles;941474.0
2007;Scooters;1075591.0
2010;Scooters;2126109.0
2012;Scooters;3014485.0
2013;Scooters;3696674.0
2014;Scooters;4701656.0
2015;Motor Cycles;12911021.0
2016;Motor Cycles;13121844.0
2011;Total;20299674.0
2018;Total;26266179.0
2011;M & HCV;377711.0
2012;M & HCV;288213.0
2014;M & HCV;263407.0
2018;M & HCV;390732.0
2019;M & HCV;224806.0
2007;LCVs;252813.0
2011;LCVs;524046.0
2018;LCVs;616579.0
2012;Total commercial Vehicles;873238.0
2017;Total commercial Vehicles;856916.0
2018;Total commercial Vehicles;1007311.0
2010;Passenger Cars;2430105.0
2012;Passenger Cars;2440127.0
2013;Passenger Cars;2338044.0
2019;Multi-Utility Vehivles;946010.0
2015;Scooters;5289159.0
2009;Motor Cycles;8444100.0
2010;Motor Cycles;10500073.0
2012;Motor Cycles;11952135.0
2008;Mopeds;438514.0
2010;Mopeds;703713.0
2018;Mopeds;880227.0
2019;Mopeds;636940.0
2010;Total Two-Wheelers;13329895.0
2016;Total Two-Wheelers;19930015.0
2016;Quadricycle;1556.0
2019;Quadricycle;942.0
2013;Total;21533807.0
2007;M & HCV;296675.0
2009;M & HCV;265369.0
2009;LCVs;312361.0
2012;LCVs;585025.0
2017;LCVs;516135.0
2019;LCVs;492882.0
2007;Total commercial Vehicles;549488.0
2009;Total commercial Vehicles;577730.0
2011;Passenger Cars;2532852.0
2015;Passenger Cars;2557727.0
2008;Multi-Utility Vehivles;228655.0
2010;Multi-Utility Vehivles;328001.0
2016;Multi-Utility Vehivles;916255.0
2017;Multi-Utility Vehivles;922322.0
2009;Scooters;1492659.0
2018;Scooters;6701430.0
2017;Motor Cycles;12620690.0
2012;Mopeds;792069.0
2017;Mopeds;859518.0
2009;Electric Two-Wheelers;2761.0
2011;Total Two-Wheelers;15384261.0
2013;Total Two-Wheelers;16890778.0
2018;Total Two-Wheelers;21179847.0
2018;Quadricycle;627.0
2015;Total;24112465.0
2008;M & HCV;200314.0
2017;M & HCV;340781.0
2008;LCVs;226505.0
2010;LCVs;400645.0
2013;LCVs;485470.0
2014;LCVs;437336.0
2011;Total commercial Vehicles;901757.0
2014;Total commercial Vehicles;700743.0
2009;Passenger Cars;1970046.0
2014;Passenger Cars;2418099.0
2016;Passenger Cars;2705981.0
2007;Multi-Utility Vehivles;251567.0
2012;Multi-Utility Vehivles;561921.0
2015;Multi-Utility Vehivles;705317.0
2008;Scooters;1173823.0
2011;Scooters;2653421.0
2016;Scooters;5897501.0
2019;Scooters;5566036.0
2007;Motor Cycles;6544349.0
2011;Motor Cycles;11944898.0
2018;Motor Cycles;13598190.0
2019;Motor Cycles;11214640.0
2009;Mopeds;571489.0
2014;Mopeds;765182.0
2015;Mopeds;738547.0
2016;Mopeds;910670.0
2007;Electric Two-Wheelers;17068.0
2009;Total Two-Wheelers;10511009.0
2012;Total Two-Wheelers;15758689.0
2014;Total Two-Wheelers;18462178.0
2017;Total Two-Wheelers;20200117.0
2019;Total Two-Wheelers;17417616.0
2008;Total;11254837.0
2009;Total;14099823.0
2014;Total;23326386.0
2016;Total;25344006.0
2013;M & HCV;224431.0
2015;M & HCV;337565.0
2015;LCVs;451234.0
2013;Total commercial Vehicles;709901.0
2015;Total commercial Vehicles;788799.0
2016;Total commercial Vehicles;822353.0
2008;Passenger Cars;1552010.0
2017;Passenger Cars;2174024.0
2018;Passenger Cars;2218489.0
2019;Passenger Cars;1695441.0
2009;Multi-Utility Vehivles;275563.0
2011;Multi-Utility Vehivles;368993.0
2014;Multi-Utility Vehivles;630723.0
2017;Scooters;6719909.0
2008;Motor Cycles;6802971.0
2013;Motor Cycles;12463932.0
2014;Motor Cycles;12995340.0
2007;Mopeds;431983.0
2011;Mopeds;785942.0
2013;Mopeds;730172.0
2008;Electric Two-Wheelers;26485.0
2007;Total Two-Wheelers;8068991.0
2008;Total Two-Wheelers;8441793.0
2015;Total Two-Wheelers;18938727.0
2007;Total;10892768.0
2010;Total;17852489.0
2012;Total;20714277.0
2017;Total;24981312.0
2019;Total;21546390.0
